Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
panic disorder,anxiety and nervousness,shortness of breath,depressive or psychotic symptoms,chest tightness,palpitations,irregular heartbeat,breathing fast,dizziness,insomnia,depression,abnormal involuntary movements,
vocal cord polyp,difficulty speaking,throat swelling,throat feels tight,hoarse voice,sore throat,,,,,,,
turner syndrome,depression,emotional symptoms,,,,,,,,,,
cryptorchidism,lack of growth,symptoms of the scrotum and testes,swelling of scrotum,,,,,,,,,
poisoning due to ethylene glycol,depression,depressive or psychotic symptoms,abusing alcohol,fainting,,,,,,,,
atrophic vaginitis,suprapubic pain,vaginal itching,painful urination,involuntary urination,frequent urination,vaginal discharge,blood in urine,pain during intercourse,,,,
fracture of the hand,arm pain,arm stiffness or tightness,hand or finger swelling,hand or finger stiffness or tightness,wrist stiffness or tightness,hand or finger pain,wrist pain,wrist swelling,,,,
cellulitis or abscess of mouth,sore throat,throat swelling,difficulty in swallowing,abnormal appearing skin,skin growth,lip swelling,toothache,,,,,
eye alignment disorder,lack of growth,eye deviation,double vision,cross-eyed,symptoms of eye,pain in eye,irregular appearing scalp,diminished vision,eye moves abnormally,,,
headache after lumbar puncture,dizziness,nausea,neck pain,headache,painful urination,vomiting,low back pain,,,,,
pyloric stenosis,cough,arm stiffness or tightness,vomiting,,,,,,,,,
salivary gland disorder,sore throat,cough,throat feels tight,swollen lymph nodes,,,,,,,,
osteochondrosis,bowlegged or knock-kneed,ankle pain,elbow pain,knee pain,hand or finger pain,foot or toe pain,,,,,,
injury to the knee,knee pain,knee weakness,foot or toe swelling,leg pain,problems with movement,,,,,,,
metabolic disorder,jaundice,arm stiffness or tightness,smoking problems,weight gain,,,,,,,,
vaginitis,suprapubic pain,vaginal itching,painful urination,pain during intercourse,pelvic pain,vaginal pain,lower abdominal pain,vaginal discharge,sharp abdominal pain,pain during pregnancy,vaginal redness,
sick sinus syndrome,shortness of breath,irregular heartbeat,fainting,increased heart rate,dizziness,palpitations,weakness,decreased heart rate,,,,
tinnitus of unknown cause,hoarse voice,headache,ear pain,ringing in ear,itchy ear(s),diminished hearing,dizziness,plugged feeling in ear,,,,
glaucoma,diminished vision,foreign body sensation in eye,spots or clouds in vision,eye redness,lacrimation,itchiness of eye,itchy eyelid,symptoms of eye,pain in eye,,,
eating disorder,depressive or psychotic symptoms,insomnia,abusing alcohol,decreased appetite,anxiety and nervousness,depression,acne or pimples,weight gain,difficulty eating,,,
transient ischemic attack,depressive or psychotic symptoms,headache,weakness,focal weakness,symptoms of the face,disturbance of memory,dizziness,difficulty speaking,loss of sensation,paresthesia,,
pyelonephritis,sharp abdominal pain,nausea,frequent urination,low back pain,side pain,suprapubic pain,lower abdominal pain,back pain,vomiting,painful urination,blood in urine,
rotator cuff injury,hand or finger stiffness or tightness,shoulder pain,arm stiffness or tightness,shoulder stiffness or tightness,shoulder weakness,arm pain,,,,,,
chronic pain disorder,hip pain,low back pain,pelvic pain,shoulder pain,leg pain,headache,knee pain,sharp abdominal pain,ache all over,back pain,,
problem during pregnancy,sharp abdominal pain,vomiting,headache,nausea,lower abdominal pain,spotting or bleeding during pregnancy,cramps and spasms,back pain,pain during pregnancy,pelvic pain,problems during pregnancy,
liver cancer,groin mass,sharp abdominal pain,upper abdominal pain,decreased appetite,stomach bloating,,,,,,,
atelectasis,dizziness,sore throat,cough,headache,shortness of breath,sharp chest pain,,,,,,
injury to the hand,wrist swelling,hand or finger stiffness or tightness,skin growth,joint pain,hand or finger pain,wrist pain,hand or finger swelling,,,,,
choledocholithiasis,sharp chest pain,sharp abdominal pain,nausea,upper abdominal pain,chills,decreased appetite,side pain,jaundice,vomiting,,,
injury to the hip,leg pain,hand or finger swelling,neck pain,hip pain,,,,,,,,
cirrhosis,blood in stool,vomiting blood,regurgitation,upper abdominal pain,regurgitation.1,abdominal distention,sharp abdominal pain,shortness of breath,peripheral edema,,,
thoracic aortic aneurysm,sharp chest pain,dizziness,jaundice,shortness of breath,sharp abdominal pain,fatigue,chest tightness,,,,,
subdural hemorrhage,depressive or psychotic symptoms,dizziness,irritable infant,vomiting,facial pain,headache,,,,,,
diabetic retinopathy,symptoms of eye,pain in eye,abnormal movement of eyelid,foreign body sensation in eye,itchiness of eye,diminished vision,double vision,spots or clouds in vision,lacrimation,,,
fibromyalgia,hip pain,headache,arm pain,low back pain,muscle pain,ache all over,sharp chest pain,neck pain,back pain,leg pain,,
ischemia of the bowel,retention of urine,blood in stool,nausea,burning abdominal pain,sharp abdominal pain,constipation,vomiting,,,,,
fetal alcohol syndrome,depressive or psychotic symptoms,emotional symptoms,excessive anger,,,,,,,,,
peritonitis,groin mass,vomiting,nausea,back pain,side pain,shortness of breath,sharp abdominal pain,intermenstrual bleeding,,,,
injury to the abdomen,sharp chest pain,leg pain,sharp abdominal pain,back pain,blood in urine,,,,,,,
acute pancreatitis,vomiting,diarrhea,side pain,hemoptysis,sharp chest pain,abusing alcohol,sharp abdominal pain,burning abdominal pain,nausea,back pain,lower body pain,upper abdominal pain
thrombophlebitis,skin swelling,leg pain,arm pain,ache all over,foot or toe pain,leg swelling,arm swelling,skin on leg or foot looks infected,lymphedema,,,
asthma,sharp chest pain,wheezing,fever,coughing up sputum,coryza,allergic reaction,shortness of breath,chest tightness,difficulty breathing,cough,nasal congestion,
foreign body in the vagina,emotional symptoms,painful urination,vaginal discharge,,,,,,,,,
restless leg syndrome,depression,abnormal involuntary movements,leg pain,fatigue,sleepiness,apnea,insomnia,headache,,,,
emphysema,shortness of breath,cough,emotional symptoms,sharp chest pain,,,,,,,,
cysticercosis,shortness of breath,elbow weakness,headache,seizures,,,,,,,,
induced abortion,sharp abdominal pain,lower abdominal pain,intermenstrual bleeding,spotting or bleeding during pregnancy,cramps and spasms,groin pain,pain during pregnancy,vaginal discharge,,,,
